,Kernel,C,Gamma,Degree,Estimators,Learning Rate,Confusion Matrix
161,poly,10.0,1,3,150,1.0,"[45, 17, 3, 31]"
162,rbf,10.0,10.0,,50,0.5,"[51, 11, 17, 17]"
163,rbf,10.0,10.0,,50,0.75,"[51, 11, 17, 17]"
164,rbf,10.0,10.0,,50,1.0,"[45, 17, 7, 27]"
165,rbf,10.0,10.0,,100,0.5,"[51, 11, 17, 17]"
166,rbf,10.0,10.0,,100,0.75,"[51, 11, 17, 17]"
167,rbf,10.0,10.0,,100,1.0,"[45, 17, 7, 27]"
168,rbf,10.0,10.0,,150,0.5,"[51, 11, 17, 17]"
169,rbf,10.0,10.0,,150,0.75,"[51, 11, 17, 17]"
170,rbf,10.0,10.0,,150,1.0,"[45, 17, 7, 27]"
171,poly,10.0,10.0,2,50,0.5,"[43, 19, 6, 28]"
172,poly,10.0,10.0,2,50,0.75,"[43, 19, 5, 29]"
173,poly,10.0,10.0,2,50,1.0,"[43, 19, 5, 29]"
174,poly,10.0,10.0,2,100,0.5,"[43, 19, 6, 28]"
175,poly,10.0,10.0,2,100,0.75,"[43, 19, 5, 29]"
176,poly,10.0,10.0,2,100,1.0,"[43, 19, 5, 29]"
177,poly,10.0,10.0,2,150,0.5,"[43, 19, 6, 28]"
178,poly,10.0,10.0,2,150,0.75,"[43, 19, 5, 29]"
179,poly,10.0,10.0,2,150,1.0,"[43, 19, 5, 29]"
180,poly,10.0,10.0,3,50,0.5,"[43, 19, 6, 28]"
181,poly,10.0,10.0,3,50,0.75,"[43, 19, 5, 29]"
182,poly,10.0,10.0,3,50,1.0,"[43, 19, 5, 29]"
183,poly,10.0,10.0,3,100,0.5,"[43, 19, 6, 28]"
184,poly,10.0,10.0,3,100,0.75,"[43, 19, 6, 28]"
185,poly,10.0,10.0,3,100,1.0,"[43, 19, 6, 28]"
186,poly,10.0,10.0,3,150,0.5,"[43, 19, 6, 28]"
187,poly,10.0,10.0,3,150,0.75,"[43, 19, 5, 29]"
188,poly,10.0,10.0,3,150,1.0,"[43, 19, 5, 29]"
189,linear,100.0,,,50,0.5,"[46, 16, 7, 27]"
190,linear,100.0,,,50,0.75,"[46, 16, 7, 27]"
191,linear,100.0,,,50,1.0,"[45, 17, 5, 29]"
192,linear,100.0,,,100,0.5,"[46, 16, 7, 27]"
193,linear,100.0,,,100,0.75,"[46, 16, 7, 27]"
194,linear,100.0,,,100,1.0,"[45, 17, 5, 29]"
