,Kernel,C,Gamma,Degree,Estimators,Learning Rate,Confusion Matrix
131,linear,10.0,,,100,1.0,"[57, 4, 29, 6]"
132,linear,10.0,,,150,0.5,"[54, 7, 28, 7]"
133,linear,10.0,,,150,0.75,"[54, 7, 28, 7]"
134,linear,10.0,,,150,1.0,"[57, 4, 29, 6]"
135,rbf,10.0,1,,50,0.5,"[61, 0, 35, 0]"
136,rbf,10.0,1,,50,0.75,"[61, 0, 35, 0]"
137,rbf,10.0,1,,50,1.0,"[61, 0, 35, 0]"
138,rbf,10.0,1,,100,0.5,"[61, 0, 35, 0]"
139,rbf,10.0,1,,100,0.75,"[61, 0, 35, 0]"
140,rbf,10.0,1,,100,1.0,"[61, 0, 35, 0]"
141,rbf,10.0,1,,150,0.5,"[61, 0, 35, 0]"
142,rbf,10.0,1,,150,0.75,"[61, 0, 35, 0]"
143,rbf,10.0,1,,150,1.0,"[61, 0, 35, 0]"
144,poly,10.0,1,2,50,0.5,"[54, 7, 24, 11]"
145,poly,10.0,1,2,50,0.75,"[57, 4, 30, 5]"
146,poly,10.0,1,2,50,1.0,"[54, 7, 26, 9]"
147,poly,10.0,1,2,100,0.5,"[54, 7, 24, 11]"
148,poly,10.0,1,2,100,0.75,"[57, 4, 30, 5]"
149,poly,10.0,1,2,100,1.0,"[54, 7, 26, 9]"
150,poly,10.0,1,2,150,0.5,"[54, 7, 24, 11]"
151,poly,10.0,1,2,150,0.75,"[57, 4, 30, 5]"
152,poly,10.0,1,2,150,1.0,"[54, 7, 26, 9]"
153,poly,10.0,1,3,50,0.5,"[50, 11, 22, 13]"
154,poly,10.0,1,3,50,0.75,"[48, 13, 23, 12]"
155,poly,10.0,1,3,50,1.0,"[48, 13, 20, 15]"
156,poly,10.0,1,3,100,0.5,"[49, 12, 22, 13]"
157,poly,10.0,1,3,100,0.75,"[48, 13, 23, 12]"
158,poly,10.0,1,3,100,1.0,"[49, 12, 23, 12]"
159,poly,10.0,1,3,150,0.5,"[49, 12, 22, 13]"
160,poly,10.0,1,3,150,0.75,"[48, 13, 23, 12]"
161,poly,10.0,1,3,150,1.0,"[49, 12, 23, 12]"
162,rbf,10.0,10.0,,50,0.5,"[61, 0, 35, 0]"
163,rbf,10.0,10.0,,50,0.75,"[61, 0, 35, 0]"
164,rbf,10.0,10.0,,50,1.0,"[61, 0, 35, 0]"
165,rbf,10.0,10.0,,100,0.5,"[61, 0, 35, 0]"
166,rbf,10.0,10.0,,100,0.75,"[61, 0, 35, 0]"
167,rbf,10.0,10.0,,100,1.0,"[61, 0, 35, 0]"
168,rbf,10.0,10.0,,150,0.5,"[61, 0, 35, 0]"
169,rbf,10.0,10.0,,150,0.75,"[61, 0, 35, 0]"
170,rbf,10.0,10.0,,150,1.0,"[61, 0, 35, 0]"
171,poly,10.0,10.0,2,50,0.5,"[49, 12, 20, 15]"
172,poly,10.0,10.0,2,50,0.75,"[48, 13, 21, 14]"
173,poly,10.0,10.0,2,50,1.0,"[49, 12, 22, 13]"
174,poly,10.0,10.0,2,100,0.5,"[49, 12, 20, 15]"
175,poly,10.0,10.0,2,100,0.75,"[48, 13, 21, 14]"
176,poly,10.0,10.0,2,100,1.0,"[49, 12, 22, 13]"
177,poly,10.0,10.0,2,150,0.5,"[49, 12, 20, 15]"
178,poly,10.0,10.0,2,150,0.75,"[48, 13, 21, 14]"
179,poly,10.0,10.0,2,150,1.0,"[49, 12, 22, 13]"
