,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
39,poly,1.0,10.0,3.0,50,"[40, 22, 7, 27]","[51, 10, 12, 23]","[42, 19, 9, 26]","[49, 12, 10, 25]","[49, 12, 15, 19]","[49, 12, 8, 26]","[44, 17, 14, 20]","[40, 21, 8, 26]","[39, 22, 7, 27]","[49, 12, 11, 23]"
40,poly,1.0,10.0,3.0,100,"[41, 21, 7, 27]","[51, 10, 12, 23]","[43, 18, 8, 27]","[49, 12, 10, 25]","[49, 12, 15, 19]","[48, 13, 8, 26]","[44, 17, 14, 20]","[40, 21, 8, 26]","[39, 22, 7, 27]","[48, 13, 9, 25]"
41,poly,1.0,10.0,3.0,150,"[40, 22, 7, 27]","[51, 10, 12, 23]","[43, 18, 8, 27]","[49, 12, 10, 25]","[49, 12, 15, 19]","[49, 12, 8, 26]","[44, 17, 14, 20]","[40, 21, 8, 26]","[39, 22, 7, 27]","[49, 12, 9, 25]"
42,linear,10.0,,,50,"[44, 18, 8, 26]","[51, 10, 11, 24]","[45, 16, 10, 25]","[51, 10, 4, 31]","[49, 12, 15, 19]","[48, 13, 8, 26]","[43, 18, 9, 25]","[47, 14, 10, 24]","[41, 20, 5, 29]","[46, 15, 12, 22]"
43,linear,10.0,,,100,"[45, 17, 9, 25]","[51, 10, 11, 24]","[45, 16, 10, 25]","[51, 10, 4, 31]","[50, 11, 15, 19]","[48, 13, 8, 26]","[44, 17, 9, 25]","[47, 14, 10, 24]","[41, 20, 5, 29]","[46, 15, 12, 22]"
44,linear,10.0,,,150,"[45, 17, 9, 25]","[51, 10, 11, 24]","[45, 16, 10, 25]","[51, 10, 4, 31]","[49, 12, 15, 19]","[48, 13, 8, 26]","[44, 17, 9, 25]","[47, 14, 10, 24]","[41, 20, 5, 29]","[46, 15, 12, 22]"
45,rbf,10.0,1.0,,50,"[41, 21, 8, 26]","[52, 9, 12, 23]","[42, 19, 9, 26]","[50, 11, 10, 25]","[49, 12, 16, 18]","[49, 12, 8, 26]","[44, 17, 14, 20]","[42, 19, 8, 26]","[39, 22, 5, 29]","[49, 12, 9, 25]"
46,rbf,10.0,1.0,,100,"[41, 21, 8, 26]","[52, 9, 12, 23]","[43, 18, 9, 26]","[50, 11, 10, 25]","[49, 12, 16, 18]","[50, 11, 8, 26]","[44, 17, 14, 20]","[42, 19, 8, 26]","[39, 22, 7, 27]","[49, 12, 9, 25]"
47,rbf,10.0,1.0,,150,"[41, 21, 8, 26]","[52, 9, 12, 23]","[43, 18, 9, 26]","[50, 11, 10, 25]","[49, 12, 16, 18]","[50, 11, 8, 26]","[44, 17, 11, 23]","[42, 19, 8, 26]","[39, 22, 7, 27]","[49, 12, 9, 25]"
48,poly,10.0,1.0,2.0,50,"[43, 19, 9, 25]","[49, 12, 12, 23]","[43, 18, 9, 26]","[51, 10, 4, 31]","[49, 12, 15, 19]","[48, 13, 7, 27]","[44, 17, 9, 25]","[46, 15, 9, 25]","[38, 23, 4, 30]","[48, 13, 10, 24]"
49,poly,10.0,1.0,2.0,100,"[43, 19, 9, 25]","[49, 12, 12, 23]","[43, 18, 9, 26]","[51, 10, 4, 31]","[49, 12, 15, 19]","[48, 13, 7, 27]","[44, 17, 9, 25]","[46, 15, 9, 25]","[38, 23, 4, 30]","[48, 13, 11, 23]"
50,poly,10.0,1.0,2.0,150,"[43, 19, 9, 25]","[47, 14, 12, 23]","[43, 18, 9, 26]","[51, 10, 4, 31]","[48, 13, 15, 19]","[48, 13, 7, 27]","[44, 17, 9, 25]","[46, 15, 9, 25]","[38, 23, 6, 28]","[48, 13, 11, 23]"
51,poly,10.0,1.0,3.0,50,"[40, 22, 7, 27]","[51, 10, 12, 23]","[42, 19, 9, 26]","[49, 12, 10, 25]","[49, 12, 15, 19]","[49, 12, 8, 26]","[44, 17, 14, 20]","[41, 20, 8, 26]","[39, 22, 7, 27]","[49, 12, 11, 23]"
52,poly,10.0,1.0,3.0,100,"[40, 22, 7, 27]","[51, 10, 12, 23]","[43, 18, 8, 27]","[49, 12, 10, 25]","[49, 12, 16, 18]","[48, 13, 8, 26]","[44, 17, 14, 20]","[41, 20, 8, 26]","[39, 22, 7, 27]","[48, 13, 9, 25]"
53,poly,10.0,1.0,3.0,150,"[40, 22, 7, 27]","[51, 10, 12, 23]","[43, 18, 8, 27]","[49, 12, 10, 25]","[49, 12, 16, 18]","[49, 12, 8, 26]","[44, 17, 14, 20]","[40, 21, 8, 26]","[39, 22, 7, 27]","[49, 12, 9, 25]"
54,rbf,10.0,10.0,,50,"[41, 21, 8, 26]","[53, 8, 12, 23]","[44, 17, 10, 25]","[50, 11, 10, 25]","[49, 12, 16, 18]","[50, 11, 9, 25]","[48, 13, 15, 19]","[42, 19, 8, 26]","[40, 21, 9, 25]","[50, 11, 13, 21]"
55,rbf,10.0,10.0,,100,"[41, 21, 9, 25]","[52, 9, 12, 23]","[44, 17, 9, 26]","[50, 11, 10, 25]","[49, 12, 16, 18]","[50, 11, 9, 25]","[48, 13, 15, 19]","[42, 19, 8, 26]","[39, 22, 9, 25]","[50, 11, 13, 21]"
56,rbf,10.0,10.0,,150,"[41, 21, 11, 23]","[52, 9, 12, 23]","[44, 17, 9, 26]","[50, 11, 10, 25]","[49, 12, 16, 18]","[50, 11, 9, 25]","[48, 13, 15, 19]","[42, 19, 8, 26]","[39, 22, 9, 25]","[50, 11, 12, 22]"
57,poly,10.0,10.0,2.0,50,"[42, 20, 6, 28]","[46, 15, 12, 23]","[41, 20, 11, 24]","[48, 13, 4, 31]","[47, 14, 13, 21]","[48, 13, 8, 26]","[43, 18, 7, 27]","[44, 17, 8, 26]","[38, 23, 5, 29]","[47, 14, 7, 27]"
58,poly,10.0,10.0,2.0,100,"[41, 21, 8, 26]","[46, 15, 12, 23]","[39, 22, 10, 25]","[48, 13, 4, 31]","[48, 13, 13, 21]","[48, 13, 8, 26]","[43, 18, 7, 27]","[44, 17, 7, 27]","[38, 23, 4, 30]","[46, 15, 8, 26]"
59,poly,10.0,10.0,2.0,150,"[41, 21, 8, 26]","[46, 15, 12, 23]","[40, 21, 9, 26]","[49, 12, 4, 31]","[47, 14, 14, 20]","[48, 13, 8, 26]","[43, 18, 7, 27]","[44, 17, 8, 26]","[38, 23, 4, 30]","[46, 15, 8, 26]"
60,poly,10.0,10.0,3.0,50,"[40, 22, 7, 27]","[51, 10, 12, 23]","[42, 19, 9, 26]","[49, 12, 10, 25]","[49, 12, 15, 19]","[49, 12, 8, 26]","[44, 17, 14, 20]","[40, 21, 8, 26]","[39, 22, 7, 27]","[49, 12, 11, 23]"
61,poly,10.0,10.0,3.0,100,"[41, 21, 7, 27]","[51, 10, 12, 23]","[43, 18, 8, 27]","[49, 12, 10, 25]","[49, 12, 16, 18]","[48, 13, 8, 26]","[44, 17, 14, 20]","[40, 21, 8, 26]","[39, 22, 7, 27]","[48, 13, 9, 25]"
62,poly,10.0,10.0,3.0,150,"[40, 22, 7, 27]","[51, 10, 12, 23]","[43, 18, 8, 27]","[49, 12, 10, 25]","[49, 12, 15, 19]","[49, 12, 8, 26]","[44, 17, 14, 20]","[40, 21, 8, 26]","[39, 22, 7, 27]","[49, 12, 9, 25]"
63,linear,100.0,,,50,"[45, 17, 8, 26]","[51, 10, 11, 24]","[45, 16, 10, 25]","[51, 10, 4, 31]","[49, 12, 15, 19]","[48, 13, 8, 26]","[44, 17, 9, 25]","[47, 14, 10, 24]","[41, 20, 5, 29]","[47, 14, 12, 22]"
64,linear,100.0,,,100,"[45, 17, 9, 25]","[51, 10, 11, 24]","[45, 16, 10, 25]","[51, 10, 4, 31]","[50, 11, 15, 19]","[48, 13, 8, 26]","[44, 17, 9, 25]","[47, 14, 10, 24]","[41, 20, 5, 29]","[46, 15, 12, 22]"
65,linear,100.0,,,150,"[43, 19, 8, 26]","[51, 10, 11, 24]","[45, 16, 10, 25]","[51, 10, 4, 31]","[49, 12, 15, 19]","[48, 13, 8, 26]","[44, 17, 9, 25]","[47, 14, 10, 24]","[41, 20, 5, 29]","[46, 15, 12, 22]"
66,rbf,100.0,1.0,,50,"[41, 21, 8, 26]","[52, 9, 12, 23]","[42, 19, 9, 26]","[50, 11, 10, 25]","[49, 12, 16, 18]","[49, 12, 8, 26]","[44, 17, 14, 20]","[42, 19, 8, 26]","[39, 22, 5, 29]","[49, 12, 9, 25]"
67,rbf,100.0,1.0,,100,"[41, 21, 8, 26]","[52, 9, 12, 23]","[43, 18, 9, 26]","[50, 11, 10, 25]","[49, 12, 16, 18]","[50, 11, 8, 26]","[44, 17, 14, 20]","[42, 19, 8, 26]","[39, 22, 7, 27]","[49, 12, 9, 25]"
68,rbf,100.0,1.0,,150,"[41, 21, 8, 26]","[52, 9, 12, 23]","[43, 18, 9, 26]","[50, 11, 10, 25]","[49, 12, 16, 18]","[50, 11, 8, 26]","[44, 17, 11, 23]","[42, 19, 8, 26]","[39, 22, 7, 27]","[49, 12, 9, 25]"
69,poly,100.0,1.0,2.0,50,"[42, 20, 8, 26]","[47, 14, 12, 23]","[42, 19, 11, 24]","[48, 13, 4, 31]","[47, 14, 14, 20]","[47, 14, 6, 28]","[44, 17, 8, 26]","[45, 16, 8, 26]","[38, 23, 6, 28]","[49, 12, 11, 23]"
70,poly,100.0,1.0,2.0,100,"[42, 20, 8, 26]","[47, 14, 12, 23]","[42, 19, 11, 24]","[49, 12, 4, 31]","[47, 14, 14, 20]","[48, 13, 8, 26]","[44, 17, 8, 26]","[45, 16, 8, 26]","[38, 23, 4, 30]","[48, 13, 8, 26]"
71,poly,100.0,1.0,2.0,150,"[42, 20, 8, 26]","[47, 14, 12, 23]","[42, 19, 11, 24]","[49, 12, 6, 29]","[47, 14, 14, 20]","[48, 13, 8, 26]","[44, 17, 8, 26]","[45, 16, 8, 26]","[38, 23, 6, 28]","[47, 14, 8, 26]"
72,poly,100.0,1.0,3.0,50,"[40, 22, 7, 27]","[51, 10, 12, 23]","[41, 20, 9, 26]","[49, 12, 10, 25]","[49, 12, 15, 19]","[49, 12, 8, 26]","[44, 17, 14, 20]","[40, 21, 8, 26]","[39, 22, 7, 27]","[49, 12, 11, 23]"
73,poly,100.0,1.0,3.0,100,"[41, 21, 7, 27]","[51, 10, 12, 23]","[43, 18, 8, 27]","[49, 12, 10, 25]","[49, 12, 16, 18]","[48, 13, 8, 26]","[44, 17, 14, 20]","[40, 21, 8, 26]","[39, 22, 7, 27]","[48, 13, 9, 25]"
74,poly,100.0,1.0,3.0,150,"[40, 22, 7, 27]","[51, 10, 12, 23]","[43, 18, 8, 27]","[49, 12, 10, 25]","[49, 12, 16, 18]","[49, 12, 8, 26]","[44, 17, 14, 20]","[40, 21, 8, 26]","[39, 22, 7, 27]","[49, 12, 9, 25]"
75,rbf,100.0,10.0,,50,"[41, 21, 8, 26]","[53, 8, 12, 23]","[44, 17, 10, 25]","[50, 11, 10, 25]","[49, 12, 16, 18]","[50, 11, 9, 25]","[48, 13, 15, 19]","[42, 19, 8, 26]","[40, 21, 9, 25]","[50, 11, 13, 21]"
76,rbf,100.0,10.0,,100,"[41, 21, 9, 25]","[52, 9, 12, 23]","[44, 17, 9, 26]","[50, 11, 10, 25]","[49, 12, 16, 18]","[50, 11, 9, 25]","[48, 13, 15, 19]","[42, 19, 8, 26]","[39, 22, 9, 25]","[50, 11, 13, 21]"
77,rbf,100.0,10.0,,150,"[41, 21, 11, 23]","[52, 9, 12, 23]","[44, 17, 9, 26]","[50, 11, 10, 25]","[49, 12, 16, 18]","[50, 11, 9, 25]","[48, 13, 15, 19]","[42, 19, 8, 26]","[39, 22, 9, 25]","[50, 11, 12, 22]"
78,poly,100.0,10.0,2.0,50,"[40, 22, 8, 26]","[46, 15, 12, 23]","[38, 23, 10, 25]","[48, 13, 4, 31]","[48, 13, 13, 21]","[48, 13, 6, 28]","[43, 18, 7, 27]","[44, 17, 7, 27]","[38, 23, 4, 30]","[46, 15, 8, 26]"
79,poly,100.0,10.0,2.0,100,"[41, 21, 8, 26]","[48, 13, 12, 23]","[41, 20, 11, 24]","[49, 12, 4, 31]","[47, 14, 13, 21]","[48, 13, 6, 28]","[43, 18, 7, 27]","[44, 17, 7, 27]","[38, 23, 4, 30]","[46, 15, 8, 26]"
80,poly,100.0,10.0,2.0,150,"[41, 21, 8, 26]","[48, 13, 12, 23]","[40, 21, 9, 26]","[49, 12, 4, 31]","[48, 13, 13, 21]","[48, 13, 8, 26]","[43, 18, 7, 27]","[44, 17, 8, 26]","[38, 23, 4, 30]","[45, 16, 8, 26]"
81,poly,100.0,10.0,3.0,50,"[40, 22, 7, 27]","[51, 10, 12, 23]","[42, 19, 9, 26]","[49, 12, 10, 25]","[49, 12, 15, 19]","[49, 12, 8, 26]","[44, 17, 14, 20]","[40, 21, 8, 26]","[39, 22, 7, 27]","[49, 12, 11, 23]"
82,poly,100.0,10.0,3.0,100,"[41, 21, 7, 27]","[51, 10, 12, 23]","[43, 18, 8, 27]","[49, 12, 10, 25]","[49, 12, 16, 18]","[48, 13, 8, 26]","[44, 17, 14, 20]","[40, 21, 8, 26]","[39, 22, 7, 27]","[48, 13, 9, 25]"
83,poly,100.0,10.0,3.0,150,"[40, 22, 7, 27]","[51, 10, 12, 23]","[43, 18, 9, 26]","[49, 12, 10, 25]","[49, 12, 15, 19]","[49, 12, 8, 26]","[44, 17, 14, 20]","[40, 21, 8, 26]","[39, 22, 7, 27]","[49, 12, 9, 25]"
84,linear,1000.0,,,50,"[45, 17, 8, 26]","[51, 10, 11, 24]","[45, 16, 10, 25]","[51, 10, 4, 31]","[49, 12, 17, 17]","[50, 11, 11, 23]","[44, 17, 9, 25]","[47, 14, 10, 24]","[40, 21, 4, 30]","[45, 16, 11, 23]"
85,linear,1000.0,,,100,"[44, 18, 8, 26]","[51, 10, 11, 24]","[45, 16, 10, 25]","[51, 10, 4, 31]","[49, 12, 15, 19]","[48, 13, 8, 26]","[44, 17, 8, 26]","[47, 14, 10, 24]","[40, 21, 4, 30]","[45, 16, 12, 22]"
86,linear,1000.0,,,150,"[45, 17, 9, 25]","[51, 10, 11, 24]","[45, 16, 10, 25]","[51, 10, 4, 31]","[49, 12, 15, 19]","[48, 13, 8, 26]","[44, 17, 8, 26]","[47, 14, 10, 24]","[40, 21, 4, 30]","[45, 16, 11, 23]"
87,rbf,1000.0,1.0,,50,"[41, 21, 8, 26]","[52, 9, 12, 23]","[42, 19, 9, 26]","[50, 11, 10, 25]","[49, 12, 16, 18]","[49, 12, 8, 26]","[44, 17, 14, 20]","[42, 19, 8, 26]","[39, 22, 5, 29]","[49, 12, 9, 25]"
88,rbf,1000.0,1.0,,100,"[41, 21, 8, 26]","[52, 9, 12, 23]","[43, 18, 9, 26]","[50, 11, 10, 25]","[49, 12, 16, 18]","[50, 11, 8, 26]","[44, 17, 14, 20]","[42, 19, 8, 26]","[39, 22, 7, 27]","[49, 12, 9, 25]"
89,rbf,1000.0,1.0,,150,"[41, 21, 8, 26]","[52, 9, 12, 23]","[43, 18, 9, 26]","[50, 11, 10, 25]","[49, 12, 16, 18]","[50, 11, 8, 26]","[44, 17, 11, 23]","[42, 19, 8, 26]","[39, 22, 7, 27]","[49, 12, 9, 25]"
90,poly,1000.0,1.0,2.0,50,"[40, 22, 7, 27]","[46, 15, 10, 25]","[39, 22, 10, 25]","[49, 12, 3, 32]","[48, 13, 13, 21]","[48, 13, 8, 26]","[43, 18, 7, 27]","[45, 16, 8, 26]","[38, 23, 5, 29]","[46, 15, 8, 26]"
91,poly,1000.0,1.0,2.0,100,"[40, 22, 7, 27]","[46, 15, 12, 23]","[38, 23, 10, 25]","[48, 13, 4, 31]","[48, 13, 14, 20]","[48, 13, 8, 26]","[43, 18, 7, 27]","[44, 17, 8, 26]","[38, 23, 4, 30]","[46, 15, 8, 26]"
