,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
14,,,,,,,,"[51, 10, 18, 17]","[53, 8, 9, 26]","[52, 9, 15, 19]","[58, 3, 20, 14]","[52, 9, 16, 18]","[52, 9, 24, 10]","[50, 11, 18, 16]","[57, 4, 23, 11]"
15,,,,,,,,"[42, 19, 8, 27]","[50, 11, 7, 28]","[45, 16, 8, 26]","[50, 11, 8, 26]","[47, 14, 9, 25]","[44, 17, 13, 21]","[47, 14, 8, 26]","[47, 14, 10, 24]"
16,,,,,,,,"[42, 19, 8, 27]","[51, 10, 7, 28]","[45, 16, 8, 26]","[50, 11, 8, 26]","[47, 14, 9, 25]","[44, 17, 13, 21]","[46, 15, 8, 26]","[47, 14, 11, 23]"
17,,,,,,,,"[42, 19, 8, 27]","[50, 11, 7, 28]","[45, 16, 8, 26]","[50, 11, 8, 26]","[48, 13, 9, 25]","[44, 17, 13, 21]","[47, 14, 8, 26]","[47, 14, 11, 23]"
18,,,,,,,,"[42, 19, 8, 27]","[47, 14, 7, 28]","[44, 17, 9, 25]","[51, 10, 13, 21]","[48, 13, 9, 25]","[43, 18, 11, 23]","[45, 16, 7, 27]","[48, 13, 11, 23]"
19,,,,,,,,"[41, 20, 8, 27]","[46, 15, 7, 28]","[45, 16, 10, 24]","[49, 12, 13, 21]","[48, 13, 9, 25]","[43, 18, 11, 23]","[45, 16, 7, 27]","[48, 13, 11, 23]"
20,,,,,,,,"[42, 19, 8, 27]","[47, 14, 7, 28]","[44, 17, 10, 24]","[49, 12, 13, 21]","[48, 13, 9, 25]","[43, 18, 11, 23]","[45, 16, 7, 27]","[48, 13, 11, 23]"
21,,,,,,,,"[43, 18, 8, 27]","[50, 11, 7, 28]","[45, 16, 7, 27]","[51, 10, 8, 26]","[49, 12, 10, 24]","[44, 17, 12, 22]","[47, 14, 10, 24]","[47, 14, 9, 25]"
22,,,,,,,,"[43, 18, 8, 27]","[50, 11, 7, 28]","[45, 16, 8, 26]","[50, 11, 8, 26]","[48, 13, 11, 23]","[44, 17, 12, 22]","[47, 14, 7, 27]","[48, 13, 9, 25]"
23,,,,,,,,"[43, 18, 8, 27]","[50, 11, 7, 28]","[45, 16, 8, 26]","[49, 12, 8, 26]","[48, 13, 11, 23]","[44, 17, 12, 22]","[46, 15, 7, 27]","[47, 14, 10, 24]"
24,,,,,,,,"[43, 18, 8, 27]","[50, 11, 7, 28]","[48, 13, 13, 21]","[50, 11, 10, 24]","[49, 12, 9, 25]","[45, 16, 12, 22]","[46, 15, 7, 27]","[49, 12, 11, 23]"
25,,,,,,,,"[43, 18, 8, 27]","[50, 11, 7, 28]","[47, 14, 12, 22]","[50, 11, 10, 24]","[49, 12, 9, 25]","[45, 16, 12, 22]","[46, 15, 7, 27]","[49, 12, 11, 23]"
26,,,,,,,,"[43, 18, 8, 27]","[50, 11, 7, 28]","[47, 14, 11, 23]","[50, 11, 10, 24]","[49, 12, 9, 25]","[45, 16, 12, 22]","[46, 15, 7, 27]","[49, 12, 11, 23]"
27,,,,,,,,"[43, 18, 8, 27]","[49, 12, 7, 28]","[45, 16, 8, 26]","[51, 10, 8, 26]","[47, 14, 9, 25]","[45, 16, 13, 21]","[48, 13, 9, 25]","[47, 14, 10, 24]"
28,,,,,,,,"[43, 18, 8, 27]","[50, 11, 7, 28]","[45, 16, 8, 26]","[51, 10, 8, 26]","[48, 13, 9, 25]","[45, 16, 13, 21]","[47, 14, 9, 25]","[47, 14, 10, 24]"
29,,,,,,,,"[43, 18, 8, 27]","[50, 11, 7, 28]","[45, 16, 8, 26]","[51, 10, 8, 26]","[48, 13, 9, 25]","[45, 16, 13, 21]","[47, 14, 9, 25]","[47, 14, 10, 24]"
30,,,,,,,,"[42, 19, 8, 27]","[47, 14, 7, 28]","[48, 13, 13, 21]","[49, 12, 10, 24]","[48, 13, 9, 25]","[44, 17, 11, 23]","[45, 16, 7, 27]","[48, 13, 11, 23]"
31,,,,,,,,"[42, 19, 8, 27]","[46, 15, 7, 28]","[47, 14, 9, 25]","[48, 13, 10, 24]","[48, 13, 9, 25]","[44, 17, 11, 23]","[45, 16, 7, 27]","[48, 13, 11, 23]"
32,,,,,,,,"[42, 19, 8, 27]","[47, 14, 7, 28]","[45, 16, 9, 25]","[48, 13, 10, 24]","[48, 13, 9, 25]","[44, 17, 11, 23]","[45, 16, 7, 27]","[48, 13, 11, 23]"
33,,,,,,,,"[42, 19, 8, 27]","[50, 11, 7, 28]","[47, 14, 11, 23]","[51, 10, 13, 21]","[49, 12, 10, 24]","[44, 17, 12, 22]","[46, 15, 7, 27]","[50, 11, 13, 21]"
34,,,,,,,,"[42, 19, 8, 27]","[50, 11, 7, 28]","[47, 14, 11, 23]","[51, 10, 13, 21]","[49, 12, 10, 24]","[44, 17, 12, 22]","[46, 15, 7, 27]","[50, 11, 12, 22]"
35,,,,,,,,"[42, 19, 8, 27]","[50, 11, 7, 28]","[47, 14, 10, 24]","[51, 10, 13, 21]","[49, 12, 9, 25]","[44, 17, 12, 22]","[46, 15, 7, 27]","[50, 11, 13, 21]"
36,,,,,,,,"[42, 19, 8, 27]","[48, 13, 7, 28]","[44, 17, 6, 28]","[49, 12, 9, 25]","[48, 13, 9, 25]","[44, 17, 12, 22]","[45, 16, 7, 27]","[48, 13, 11, 23]"
37,,,,,,,,"[42, 19, 8, 27]","[48, 13, 7, 28]","[44, 17, 6, 28]","[49, 12, 9, 25]","[48, 13, 9, 25]","[44, 17, 12, 22]","[45, 16, 7, 27]","[49, 12, 11, 23]"
38,,,,,,,,"[41, 20, 8, 27]","[48, 13, 7, 28]","[44, 17, 5, 29]","[49, 12, 9, 25]","[48, 13, 9, 25]","[44, 17, 12, 22]","[46, 15, 7, 27]","[49, 12, 11, 23]"
39,,,,,,,,"[42, 19, 8, 27]","[47, 14, 7, 28]","[45, 16, 9, 25]","[51, 10, 13, 21]","[48, 13, 9, 25]","[43, 18, 11, 23]","[45, 16, 7, 27]","[48, 13, 11, 23]"
40,,,,,,,,"[41, 20, 8, 27]","[46, 15, 7, 28]","[45, 16, 10, 24]","[49, 12, 13, 21]","[48, 13, 9, 25]","[43, 18, 11, 23]","[45, 16, 7, 27]","[48, 13, 11, 23]"
41,,,,,,,,"[42, 19, 8, 27]","[47, 14, 7, 28]","[44, 17, 10, 24]","[49, 12, 13, 21]","[48, 13, 9, 25]","[43, 18, 11, 23]","[45, 16, 7, 27]","[48, 13, 11, 23]"
42,,,,,,,,"[43, 18, 8, 27]","[50, 11, 7, 28]","[45, 16, 7, 27]","[51, 10, 8, 26]","[49, 12, 10, 24]","[44, 17, 12, 22]","[47, 14, 10, 24]","[47, 14, 9, 25]"
43,,,,,,,,"[43, 18, 8, 27]","[50, 11, 7, 28]","[45, 16, 8, 26]","[50, 11, 8, 26]","[48, 13, 11, 23]","[44, 17, 12, 22]","[47, 14, 7, 27]","[48, 13, 10, 24]"
44,,,,,,,,"[43, 18, 8, 27]","[50, 11, 7, 28]","[45, 16, 8, 26]","[49, 12, 8, 26]","[48, 13, 11, 23]","[44, 17, 12, 22]","[46, 15, 7, 27]","[47, 14, 10, 24]"
45,,,,,,,,"[42, 19, 8, 27]","[48, 13, 7, 28]","[45, 16, 10, 24]","[51, 10, 13, 21]","[49, 12, 9, 25]","[44, 17, 12, 22]","[46, 15, 7, 27]","[48, 13, 11, 23]"
46,,,,,,,,"[42, 19, 8, 27]","[47, 14, 7, 28]","[47, 14, 10, 24]","[51, 10, 13, 21]","[49, 12, 9, 25]","[44, 17, 12, 22]","[46, 15, 7, 27]","[49, 12, 11, 23]"
47,,,,,,,,"[42, 19, 8, 27]","[48, 13, 7, 28]","[47, 14, 10, 24]","[51, 10, 13, 21]","[49, 12, 9, 25]","[44, 17, 12, 22]","[46, 15, 7, 27]","[49, 12, 11, 23]"
48,,,,,,,,"[42, 19, 8, 27]","[49, 12, 7, 28]","[45, 16, 8, 26]","[50, 11, 8, 26]","[47, 14, 9, 25]","[44, 17, 13, 21]","[47, 14, 8, 26]","[47, 14, 10, 24]"
49,,,,,,,,"[42, 19, 8, 27]","[50, 11, 7, 28]","[45, 16, 8, 26]","[50, 11, 8, 26]","[47, 14, 9, 25]","[44, 17, 13, 21]","[46, 15, 8, 26]","[47, 14, 11, 23]"
50,,,,,,,,"[42, 19, 8, 27]","[50, 11, 7, 28]","[45, 16, 8, 26]","[50, 11, 8, 26]","[48, 13, 9, 25]","[44, 17, 13, 21]","[47, 14, 8, 26]","[47, 14, 11, 23]"
51,,,,,,,,"[42, 19, 8, 27]","[47, 14, 7, 28]","[45, 16, 11, 23]","[51, 10, 14, 20]","[48, 13, 9, 25]","[43, 18, 11, 23]","[45, 16, 7, 27]","[48, 13, 11, 23]"
52,,,,,,,,"[41, 20, 8, 27]","[46, 15, 7, 28]","[44, 17, 10, 24]","[49, 12, 13, 21]","[48, 13, 9, 25]","[43, 18, 11, 23]","[45, 16, 7, 27]","[48, 13, 11, 23]"
53,,,,,,,,"[42, 19, 8, 27]","[47, 14, 7, 28]","[43, 18, 10, 24]","[50, 11, 13, 21]","[48, 13, 9, 25]","[43, 18, 11, 23]","[45, 16, 7, 27]","[48, 13, 11, 23]"
54,,,,,,,,"[42, 19, 8, 27]","[50, 11, 7, 28]","[47, 14, 11, 23]","[51, 10, 13, 21]","[49, 12, 10, 24]","[44, 17, 12, 22]","[46, 15, 7, 27]","[50, 11, 13, 21]"
55,,,,,,,,"[42, 19, 8, 27]","[50, 11, 7, 28]","[47, 14, 11, 23]","[51, 10, 13, 21]","[49, 12, 10, 24]","[44, 17, 12, 22]","[46, 15, 7, 27]","[50, 11, 12, 22]"
56,,,,,,,,"[42, 19, 8, 27]","[50, 11, 7, 28]","[47, 14, 10, 24]","[51, 10, 13, 21]","[49, 12, 9, 25]","[44, 17, 12, 22]","[46, 15, 7, 27]","[50, 11, 13, 21]"
57,,,,,,,,"[42, 19, 8, 27]","[46, 15, 6, 29]","[43, 18, 5, 29]","[49, 12, 8, 26]","[47, 14, 9, 25]","[44, 17, 12, 22]","[45, 16, 6, 28]","[49, 12, 11, 23]"
58,,,,,,,,"[41, 20, 8, 27]","[46, 15, 6, 29]","[41, 20, 2, 32]","[49, 12, 8, 26]","[47, 14, 9, 25]","[44, 17, 12, 22]","[43, 18, 6, 28]","[49, 12, 11, 23]"
59,,,,,,,,"[41, 20, 8, 27]","[46, 15, 6, 29]","[43, 18, 4, 30]","[49, 12, 8, 26]","[48, 13, 9, 25]","[44, 17, 12, 22]","[43, 18, 6, 28]","[47, 14, 10, 24]"
60,,,,,,,,"[42, 19, 8, 27]","[47, 14, 7, 28]","[44, 17, 9, 25]","[51, 10, 13, 21]","[48, 13, 9, 25]","[43, 18, 11, 23]","[45, 16, 7, 27]","[48, 13, 11, 23]"
61,,,,,,,,"[41, 20, 8, 27]","[46, 15, 7, 28]","[45, 16, 10, 24]","[49, 12, 13, 21]","[48, 13, 9, 25]","[43, 18, 11, 23]","[45, 16, 7, 27]","[48, 13, 11, 23]"
62,,,,,,,,"[42, 19, 8, 27]","[47, 14, 7, 28]","[45, 16, 10, 24]","[49, 12, 13, 21]","[48, 13, 9, 25]","[43, 18, 11, 23]","[45, 16, 7, 27]","[48, 13, 11, 23]"
63,,,,,,,,"[43, 18, 8, 27]","[50, 11, 7, 28]","[45, 16, 7, 27]","[49, 12, 8, 26]","[49, 12, 10, 24]","[44, 17, 12, 22]","[46, 15, 10, 24]","[47, 14, 10, 24]"
64,,,,,,,,"[43, 18, 8, 27]","[50, 11, 7, 28]","[45, 16, 7, 27]","[50, 11, 8, 26]","[48, 13, 11, 23]","[44, 17, 12, 22]","[46, 15, 7, 27]","[47, 14, 10, 24]"
65,,,,,,,,"[43, 18, 8, 27]","[50, 11, 7, 28]","[45, 16, 7, 27]","[49, 12, 8, 26]","[48, 13, 11, 23]","[44, 17, 12, 22]","[46, 15, 7, 27]","[47, 14, 10, 24]"
66,,,,,,,,"[42, 19, 8, 27]","[48, 13, 7, 28]","[45, 16, 10, 24]","[51, 10, 13, 21]","[49, 12, 9, 25]","[44, 17, 12, 22]","[46, 15, 7, 27]","[48, 13, 11, 23]"
67,,,,,,,,"[42, 19, 8, 27]","[47, 14, 7, 28]","[47, 14, 10, 24]","[51, 10, 13, 21]","[49, 12, 9, 25]","[44, 17, 12, 22]","[46, 15, 7, 27]","[49, 12, 11, 23]"
68,,,,,,,,"[42, 19, 8, 27]","[48, 13, 7, 28]","[47, 14, 10, 24]","[51, 10, 13, 21]","[49, 12, 9, 25]","[44, 17, 12, 22]","[46, 15, 7, 27]","[49, 12, 11, 23]"
69,,,,,,,,"[42, 19, 8, 27]","[48, 13, 7, 28]","[45, 16, 7, 27]","[49, 12, 9, 25]","[48, 13, 9, 25]","[44, 17, 12, 22]","[45, 16, 7, 27]","[49, 12, 11, 23]"
70,,,,,,,,"[42, 19, 8, 27]","[48, 13, 7, 28]","[45, 16, 6, 28]","[49, 12, 9, 25]","[48, 13, 9, 25]","[44, 17, 12, 22]","[45, 16, 7, 27]","[49, 12, 11, 23]"
71,,,,,,,,"[42, 19, 8, 27]","[48, 13, 7, 28]","[45, 16, 6, 28]","[49, 12, 9, 25]","[48, 13, 9, 25]","[44, 17, 12, 22]","[46, 15, 7, 27]","[49, 12, 11, 23]"
72,,,,,,,,"[42, 19, 8, 27]","[47, 14, 7, 28]","[44, 17, 10, 24]","[51, 10, 13, 21]","[48, 13, 9, 25]","[43, 18, 11, 23]","[45, 16, 7, 27]","[48, 13, 11, 23]"
73,,,,,,,,"[41, 20, 8, 27]","[46, 15, 7, 28]","[45, 16, 10, 24]","[49, 12, 13, 21]","[48, 13, 9, 25]","[43, 18, 11, 23]","[45, 16, 7, 27]","[48, 13, 11, 23]"
74,,,,,,,,"[42, 19, 8, 27]","[47, 14, 7, 28]","[44, 17, 10, 24]","[50, 11, 13, 21]","[48, 13, 9, 25]","[43, 18, 11, 23]","[45, 16, 7, 27]","[48, 13, 11, 23]"
75,,,,,,,,"[42, 19, 8, 27]","[50, 11, 7, 28]","[47, 14, 11, 23]","[51, 10, 13, 21]","[49, 12, 10, 24]","[44, 17, 12, 22]","[46, 15, 7, 27]","[50, 11, 13, 21]"
76,,,,,,,,"[42, 19, 8, 27]","[50, 11, 7, 28]","[47, 14, 11, 23]","[51, 10, 13, 21]","[49, 12, 10, 24]","[44, 17, 12, 22]","[46, 15, 7, 27]","[50, 11, 12, 22]"
77,,,,,,,,"[42, 19, 8, 27]","[50, 11, 7, 28]","[47, 14, 10, 24]","[51, 10, 13, 21]","[49, 12, 9, 25]","[44, 17, 12, 22]","[46, 15, 7, 27]","[50, 11, 13, 21]"
78,,,,,,,,"[41, 20, 8, 27]","[45, 16, 6, 29]","[41, 20, 2, 32]","[49, 12, 8, 26]","[47, 14, 9, 25]","[44, 17, 12, 22]","[44, 17, 7, 27]","[48, 13, 11, 23]"
79,,,,,,,,"[41, 20, 8, 27]","[45, 16, 6, 29]","[43, 18, 4, 30]","[49, 12, 8, 26]","[47, 14, 9, 25]","[44, 17, 12, 22]","[43, 18, 7, 27]","[48, 13, 10, 24]"
80,,,,,,,,"[41, 20, 8, 27]","[46, 15, 6, 29]","[43, 18, 4, 30]","[49, 12, 8, 26]","[47, 14, 9, 25]","[44, 17, 12, 22]","[43, 18, 6, 28]","[49, 12, 11, 23]"
81,,,,,,,,"[42, 19, 8, 27]","[47, 14, 7, 28]","[44, 17, 9, 25]","[51, 10, 13, 21]","[48, 13, 9, 25]","[43, 18, 11, 23]","[45, 16, 7, 27]","[48, 13, 11, 23]"
82,,,,,,,,"[41, 20, 8, 27]","[46, 15, 7, 28]","[45, 16, 10, 24]","[49, 12, 13, 21]","[48, 13, 9, 25]","[43, 18, 11, 23]","[45, 16, 7, 27]","[48, 13, 11, 23]"
83,,,,,,,,"[42, 19, 8, 27]","[47, 14, 7, 28]","[45, 16, 10, 24]","[49, 12, 13, 21]","[48, 13, 9, 25]","[43, 18, 11, 23]","[45, 16, 7, 27]","[48, 13, 11, 23]"
84,,,,,,,,"[44, 17, 8, 27]","[49, 12, 7, 28]","[45, 16, 8, 26]","[52, 9, 8, 26]","[52, 9, 13, 21]","[44, 17, 12, 22]","[48, 13, 10, 24]","[48, 13, 10, 24]"
85,,,,,,,,"[44, 17, 8, 27]","[49, 12, 7, 28]","[45, 16, 8, 26]","[51, 10, 8, 26]","[51, 10, 14, 20]","[44, 17, 12, 22]","[48, 13, 8, 26]","[48, 13, 9, 25]"
86,,,,,,,,"[44, 17, 8, 27]","[49, 12, 7, 28]","[45, 16, 8, 26]","[51, 10, 8, 26]","[51, 10, 14, 20]","[44, 17, 12, 22]","[48, 13, 7, 27]","[48, 13, 10, 24]"
87,,,,,,,,"[42, 19, 8, 27]","[48, 13, 7, 28]","[45, 16, 10, 24]","[51, 10, 13, 21]","[49, 12, 9, 25]","[44, 17, 12, 22]","[46, 15, 7, 27]","[48, 13, 11, 23]"
88,,,,,,,,"[42, 19, 8, 27]","[47, 14, 7, 28]","[47, 14, 10, 24]","[51, 10, 13, 21]","[49, 12, 9, 25]","[44, 17, 12, 22]","[46, 15, 7, 27]","[49, 12, 11, 23]"
89,,,,,,,,"[42, 19, 8, 27]","[48, 13, 7, 28]","[47, 14, 10, 24]","[51, 10, 13, 21]","[49, 12, 9, 25]","[44, 17, 12, 22]","[46, 15, 7, 27]","[49, 12, 11, 23]"
90,,,,,,,,"[41, 20, 8, 27]","[45, 16, 6, 29]","[43, 18, 5, 29]","[49, 12, 8, 26]","[47, 14, 9, 25]","[44, 17, 12, 22]","[44, 17, 6, 28]","[48, 13, 12, 22]"
91,,,,,,,,"[41, 20, 8, 27]","[46, 15, 6, 29]","[41, 20, 2, 32]","[49, 12, 8, 26]","[47, 14, 9, 25]","[44, 17, 12, 22]","[44, 17, 6, 28]","[47, 14, 7, 27]"
92,,,,,,,,"[41, 20, 8, 27]","[46, 15, 6, 29]","[41, 20, 3, 31]","[49, 12, 8, 26]","[47, 14, 9, 25]","[44, 17, 12, 22]","[43, 18, 6, 28]","[47, 14, 8, 26]"
93,,,,,,,,"[42, 19, 8, 27]","[47, 14, 7, 28]","[44, 17, 9, 25]","[50, 11, 9, 25]","[48, 13, 9, 25]","[43, 18, 11, 23]","[45, 16, 7, 27]","[48, 13, 11, 23]"
94,,,,,,,,"[41, 20, 8, 27]","[46, 15, 7, 28]","[45, 16, 10, 24]","[49, 12, 13, 21]","[48, 13, 9, 25]","[43, 18, 11, 23]","[45, 16, 7, 27]","[48, 13, 11, 23]"
95,,,,,,,,"[42, 19, 8, 27]","[47, 14, 7, 28]","[45, 16, 10, 24]","[50, 11, 13, 21]","[48, 13, 9, 25]","[43, 18, 11, 23]","[45, 16, 7, 27]","[48, 13, 11, 23]"
96,,,,,,,,"[42, 19, 8, 27]","[50, 11, 7, 28]","[47, 14, 11, 23]","[51, 10, 13, 21]","[49, 12, 10, 24]","[44, 17, 12, 22]","[46, 15, 7, 27]","[50, 11, 13, 21]"
97,,,,,,,,"[42, 19, 8, 27]","[50, 11, 7, 28]","[47, 14, 11, 23]","[51, 10, 13, 21]","[49, 12, 10, 24]","[44, 17, 12, 22]","[46, 15, 7, 27]","[50, 11, 12, 22]"
98,,,,,,,,"[42, 19, 8, 27]","[50, 11, 7, 28]","[47, 14, 10, 24]","[51, 10, 13, 21]","[49, 12, 9, 25]","[44, 17, 12, 22]","[46, 15, 7, 27]","[50, 11, 13, 21]"
99,,,,,,,,"[41, 20, 8, 27]","[45, 16, 6, 29]","[43, 18, 5, 29]","[49, 12, 8, 26]","[48, 13, 9, 25]","[44, 17, 12, 22]","[44, 17, 7, 27]","[46, 15, 8, 26]"
100,,,,,,,,"[41, 20, 8, 27]","[46, 15, 6, 29]","[41, 20, 2, 32]","[49, 12, 8, 26]","[47, 14, 9, 25]","[44, 17, 12, 22]","[43, 18, 7, 27]","[47, 14, 7, 27]"
101,,,,,,,,"[41, 20, 8, 27]","[46, 15, 6, 29]","[41, 20, 2, 32]","[49, 12, 8, 26]","[47, 14, 9, 25]","[44, 17, 12, 22]","[43, 18, 7, 27]","[47, 14, 8, 26]"
102,,,,,,,,"[42, 19, 8, 27]","[47, 14, 7, 28]","[44, 17, 10, 24]","[51, 10, 13, 21]","[48, 13, 9, 25]","[43, 18, 11, 23]","[45, 16, 7, 27]","[48, 13, 11, 23]"
103,,,,,,,,"[41, 20, 8, 27]","[46, 15, 7, 28]","[45, 16, 10, 24]","[49, 12, 13, 21]","[48, 13, 9, 25]","[43, 18, 11, 23]","[45, 16, 7, 27]","[48, 13, 11, 23]"
104,,,,,,,,"[42, 19, 8, 27]","[47, 14, 7, 28]","[44, 17, 10, 24]","[49, 12, 13, 21]","[48, 13, 9, 25]","[43, 18, 11, 23]","[45, 16, 7, 27]","[48, 13, 11, 23]"
